gene_id	gene_biotype	gene_name	species
ENSMUSG00000088153	misc_RNA	Gm26348	mouse
ENSMUSG00000102556	TEC	Gm37569	mouse
ENSMUSG00000042501	protein_coding	Cpa6	mouse
ENSMUSG00000103810	TEC	Gm38005	mouse
ENSMUSG00000083422	processed_pseudogene	Gm15604	mouse
ENSMUSG00000094979	snRNA	Gm25253	mouse
ENSMUSG00000081417	processed_pseudogene	Gm15603	mouse
ENSMUSG00000103448	TEC	Gm37133	mouse
ENSMUSG00000100212	processed_pseudogene	Gm5522	mouse
ENSMUSG00000100648	processed_pseudogene	Gm28659	mouse
ENSMUSG00000088585	snoRNA	Gm22963	mouse
ENSMUSG00000048960	protein_coding	Prex2	mouse
ENSMUSG00000077318	snoRNA	Gm24173	mouse
ENSMUSG00000101827	processed_pseudogene	Gm28686	mouse
ENSMUSG00000103494	TEC	Gm37410	mouse
ENSMUSG00000057715	protein_coding	A830018L16Rik	mouse
ENSMUSG00000103825	TEC	Gm38178	mouse
ENSMUSG00000099845	processed_pseudogene	Gm29273	mouse
ENSMUSG00000103561	TEC	Gm38069	mouse
ENSMUSG00000101610	processed_pseudogene	Gm7560	mouse
ENSMUSG00000093864	snRNA	Gm22633	mouse
ENSMUSG00000098555	miRNA	Mir6341	mouse
ENSMUSG00000097628	processed_pseudogene	Gm2383	mouse
ENSMUSG00000098163	processed_pseudogene	Gm6216	mouse
ENSMUSG00000097171	lincRNA	Gm17644	mouse
ENSMUSG00000101314	lincRNA	Gm29663	mouse
ENSMUSG00000016918	protein_coding	Sulf1	mouse
ENSMUSG00000025938	protein_coding	Slco5a1	mouse
ENSMUSG00000104518	TEC	Gm37162	mouse
ENSMUSG00000069620	processed_pseudogene	Gm5250	mouse
ENSMUSG00000099498	lincRNA	Gm29283	mouse
ENSMUSG00000042414	protein_coding	Prdm14	mouse
ENSMUSG00000005886	protein_coding	Ncoa2	mouse
ENSMUSG00000103506	TEC	Gm38376	mouse
ENSMUSG00000103495	TEC	Gm37409	mouse
ENSMUSG00000099183	miRNA	Gm27881	mouse
ENSMUSG00000102639	TEC	Gm38223	mouse
ENSMUSG00000104170	TEC	Gm37702	mouse
ENSMUSG00000087782	snRNA	Gm23169	mouse
ENSMUSG00000103085	TEC	Gm38120	mouse
ENSMUSG00000102664	TEC	Gm38380	mouse
ENSMUSG00000101476	antisense	Gm29570	mouse
ENSMUSG00000101171	processed_pseudogene	Gm7593	mouse
ENSMUSG00000025935	protein_coding	Tram1	mouse
ENSMUSG00000025937	protein_coding	Lactb2	mouse
ENSMUSG00000102982	TEC	Gm38319	mouse
ENSMUSG00000067813	protein_coding	Xkr9	mouse
ENSMUSG00000077368	snoRNA	Gm26273	mouse
ENSMUSG00000097711	processed_pseudogene	Gm5523	mouse
ENSMUSG00000102166	TEC	Gm36947	mouse
ENSMUSG00000089358	misc_RNA	Gm25491	mouse
ENSMUSG00000104209	TEC	Gm37400	mouse
ENSMUSG00000025932	protein_coding	Eya1	mouse
ENSMUSG00000095853	miRNA	Gm22616	mouse
ENSMUSG00000102588	TEC	Gm37444	mouse
ENSMUSG00000054493	antisense	Gm9947	mouse
ENSMUSG00000025930	protein_coding	Msc	mouse
ENSMUSG00000103492	TEC	Gm37412	mouse
ENSMUSG00000081201	processed_pseudogene	Smt3h2-ps4	mouse
ENSMUSG00000082193	processed_pseudogene	Rpl5-ps1	mouse
ENSMUSG00000032769	protein_coding	Trpa1	mouse
ENSMUSG00000088159	snoRNA	Gm26345	mouse
ENSMUSG00000073737	processed_pseudogene	Gm10566	mouse
ENSMUSG00000092083	protein_coding	Kcnb2	mouse
ENSMUSG00000102937	TEC	Gm38116	mouse
ENSMUSG00000104149	TEC	Gm37138	mouse
ENSMUSG00000088829	snoRNA	Gm25227	mouse
ENSMUSG00000077377	snoRNA	Gm25168	mouse
ENSMUSG00000101652	processed_pseudogene	Gm6060	mouse
ENSMUSG00000100814	processed_pseudogene	Gm28669	mouse
ENSMUSG00000025925	protein_coding	Terf1	mouse
ENSMUSG00000104379	TEC	Gm37509	mouse
ENSMUSG00000032719	protein_coding	Sbspon	mouse
ENSMUSG00000088943	misc_RNA	Gm23259	mouse
ENSMUSG00000100652	processed_pseudogene	Gm7634	mouse
ENSMUSG00000067795	protein_coding	4930444P10Rik	mouse
ENSMUSG00000043716	protein_coding	Rpl7	mouse
ENSMUSG00000025921	protein_coding	Rdh10	mouse
ENSMUSG00000104165	TEC	Gm38249	mouse
ENSMUSG00000100868	antisense	Gm28095	mouse
ENSMUSG00000025920	protein_coding	Stau2	mouse
ENSMUSG00000089982	antisense	Gm7568	mouse
ENSMUSG00000025939	protein_coding	Ube2w	mouse
ENSMUSG00000102457	TEC	Gm38342	mouse
ENSMUSG00000079658	protein_coding	Eloc	mouse
ENSMUSG00000097744	lincRNA	D030040B21Rik	mouse
ENSMUSG00000100959	processed_pseudogene	Gm7654	mouse
ENSMUSG00000025940	protein_coding	Tmem70	mouse
ENSMUSG00000025779	protein_coding	Ly96	mouse
ENSMUSG00000100093	processed_pseudogene	Gm29649	mouse
ENSMUSG00000091020	processed_pseudogene	Gm5828	mouse
ENSMUSG00000101640	antisense	Gm28376	mouse
ENSMUSG00000104133	TEC	4921511E07Rik	mouse
ENSMUSG00000042686	protein_coding	Jph1	mouse
ENSMUSG00000100110	lincRNA	Gm28783	mouse
ENSMUSG00000025777	protein_coding	Gdap1	mouse
ENSMUSG00000099899	lincRNA	Gm28784	mouse
ENSMUSG00000100272	processed_pseudogene	Gm28785	mouse
ENSMUSG00000100398	processed_pseudogene	Gm5251	mouse
ENSMUSG00000101589	processed_pseudogene	Rbm6-ps1	mouse
ENSMUSG00000102048	processed_pseudogene	Gm6075	mouse
ENSMUSG00000089534	snoRNA	Gm25166	mouse
ENSMUSG00000067780	protein_coding	Pi15	mouse
ENSMUSG00000100053	antisense	Gm28154	mouse
ENSMUSG00000085125	antisense	Gm16070	mouse
ENSMUSG00000025776	protein_coding	Crispld1	mouse
ENSMUSG00000099895	antisense	Gm28153	mouse
ENSMUSG00000100554	processed_pseudogene	Gm7690	mouse
ENSMUSG00000099473	transcribed_unprocessed_pseudogene	Gm18775	mouse
ENSMUSG00000099591	processed_pseudogene	Gm17969	mouse
ENSMUSG00000109887	processed_transcript	Gm28756	mouse
ENSMUSG00000102001	unprocessed_pseudogene	Gm28755	mouse
ENSMUSG00000101717	transcribed_unprocessed_pseudogene	Gm45784	mouse
ENSMUSG00000025774	protein_coding	Crisp4	mouse
ENSMUSG00000070977	unprocessed_pseudogene	Defb44-ps	mouse
ENSMUSG00000073735	protein_coding	Defb18	mouse
ENSMUSG00000067773	protein_coding	Defb41	mouse
ENSMUSG00000101685	processed_pseudogene	Gm17837	mouse
ENSMUSG00000101306	processed_pseudogene	Gm5252	mouse
ENSMUSG00000088800	snoRNA	Gm24075	mouse
ENSMUSG00000101644	processed_pseudogene	Gm28343	mouse
ENSMUSG00000099433	processed_pseudogene	Gm28344	mouse
ENSMUSG00000089787	antisense	Gm15825	mouse
ENSMUSG00000042596	protein_coding	Tfap2d	mouse
ENSMUSG00000100720	processed_pseudogene	Gm10075	mouse
ENSMUSG00000025927	protein_coding	Tfap2b	mouse
ENSMUSG00000100538	lincRNA	Gm28340	mouse
ENSMUSG00000101117	processed_pseudogene	Gm28341	mouse
ENSMUSG00000100204	processed_pseudogene	Gm4849	mouse
ENSMUSG00000084668	snoRNA	Gm24633	mouse
ENSMUSG00000102597	TEC	Gm38382	mouse
ENSMUSG00000043760	protein_coding	Pkhd1	mouse
ENSMUSG00000104095	TEC	Gm37315	mouse
ENSMUSG00000089914	antisense	4930486I03Rik	mouse
ENSMUSG00000090142	processed_pseudogene	Gm15795	mouse
ENSMUSG00000070175	snRNA	Gm24162	mouse
ENSMUSG00000099906	lincRNA	Gm28653	mouse
ENSMUSG00000065559	miRNA	Mir206	mouse
ENSMUSG00000065480	miRNA	Mir133b	mouse
ENSMUSG00000025929	protein_coding	Il17a	mouse
ENSMUSG00000041872	protein_coding	Il17f	mouse
ENSMUSG00000041859	protein_coding	Mcm3	mouse
ENSMUSG00000099714	processed_pseudogene	Gm20587	mouse
ENSMUSG00000102121	lincRNA	Gm28065	mouse
ENSMUSG00000088858	snoRNA	Gm24723	mouse
ENSMUSG00000097934	lincRNA	6720483E21Rik	mouse
ENSMUSG00000025931	protein_coding	Paqr8	mouse
ENSMUSG00000077314	snoRNA	Gm24171	mouse
ENSMUSG00000100929	processed_pseudogene	Gm28064	mouse
ENSMUSG00000041809	protein_coding	Efhc1	mouse
ENSMUSG00000041779	protein_coding	Tram2	mouse
ENSMUSG00000099971	antisense	Gm28287	mouse
ENSMUSG00000100819	unprocessed_pseudogene	Gm2693	mouse
ENSMUSG00000025933	protein_coding	Tmem14a	mouse
ENSMUSG00000102633	TEC	Gm38224	mouse
ENSMUSG00000025934	protein_coding	Gsta3	mouse
ENSMUSG00000099343	antisense	Gm28836	mouse
ENSMUSG00000096375	unprocessed_pseudogene	Gm7094	mouse
ENSMUSG00000025936	transcribed_unprocessed_pseudogene	Gm4956	mouse
ENSMUSG00000093963	unprocessed_pseudogene	Gm21909	mouse
ENSMUSG00000067750	protein_coding	Khdc1a	mouse
ENSMUSG00000086194	unprocessed_pseudogene	Gm16329	mouse
ENSMUSG00000094436	processed_pseudogene	Gm16327	mouse
ENSMUSG00000041722	protein_coding	Khdc1c	mouse
ENSMUSG00000085507	unprocessed_pseudogene	Gm2709	mouse
ENSMUSG00000094926	processed_pseudogene	Gm16533	mouse
ENSMUSG00000085079	protein_coding	Khdc1b	mouse
ENSMUSG00000085679	processed_pseudogene	Gm16328	mouse
ENSMUSG00000028033	protein_coding	Kcnq5	mouse
ENSMUSG00000104138	TEC	Gm36949	mouse
ENSMUSG00000082935	processed_pseudogene	Gm7658	mouse
ENSMUSG00000103748	TEC	Gm38243	mouse
ENSMUSG00000099692	processed_pseudogene	Gm5696	mouse
ENSMUSG00000100418	processed_pseudogene	Gm28239	mouse
ENSMUSG00000041670	protein_coding	Rims1	mouse
ENSMUSG00000097642	processed_pseudogene	Gm26866	mouse
ENSMUSG00000101468	processed_pseudogene	Gm7761	mouse
ENSMUSG00000101227	sense_overlapping	Gm29506	mouse
ENSMUSG00000073730	protein_coding	Ppp1r14bl	mouse
ENSMUSG00000089553	snoRNA	Gm24176	mouse
ENSMUSG00000102766	TEC	Gm6420	mouse
ENSMUSG00000065405	miRNA	Mir30a	mouse
ENSMUSG00000097970	lincRNA	Gm27028	mouse
ENSMUSG00000065567	miRNA	Mir30c-2	mouse
ENSMUSG00000100775	lincRNA	Gm29107	mouse
ENSMUSG00000101226	processed_pseudogene	Gm20954	mouse
ENSMUSG00000026158	protein_coding	Ogfrl1	mouse
ENSMUSG00000097920	processed_pseudogene	Gm7784	mouse
ENSMUSG00000099503	lincRNA	Gm28822	mouse
ENSMUSG00000026156	protein_coding	B3gat2	mouse
ENSMUSG00000026155	protein_coding	Smap1	mouse
ENSMUSG00000026154	protein_coding	Sdhaf4	mouse
ENSMUSG00000102495	TEC	Gm26524	mouse
ENSMUSG00000026153	protein_coding	Fam135a	mouse
ENSMUSG00000102398	TEC	Gm37580	mouse
ENSMUSG00000097670	processed_pseudogene	Gm26607	mouse
ENSMUSG00000026147	protein_coding	Col9a1	mouse
ENSMUSG00000026141	protein_coding	Col19a1	mouse
ENSMUSG00000077463	snoRNA	Gm26418	mouse
ENSMUSG00000099997	processed_pseudogene	Tubb4b-ps2	mouse
ENSMUSG00000100131	unprocessed_pseudogene	Gm28439	mouse
ENSMUSG00000067736	unprocessed_pseudogene	Gm10222	mouse
ENSMUSG00000101939	unprocessed_pseudogene	Gm28438	mouse
ENSMUSG00000101111	unprocessed_pseudogene	Gm28437	mouse
ENSMUSG00000100862	unprocessed_pseudogene	Gm10925	mouse
ENSMUSG00000102070	unprocessed_pseudogene	Gm28661	mouse
ENSMUSG00000101249	unprocessed_pseudogene	Gm29216	mouse
ENSMUSG00000073725	protein_coding	Lmbrd1	mouse
ENSMUSG00000100808	processed_pseudogene	Gm28594	mouse
ENSMUSG00000100483	lincRNA	Gm28237	mouse
ENSMUSG00000100450	processed_pseudogene	Gm9443	mouse
ENSMUSG00000099392	lincRNA	Gm29414	mouse
ENSMUSG00000033569	protein_coding	Adgrb3	mouse
ENSMUSG00000080849	processed_pseudogene	Gm15702	mouse
ENSMUSG00000104257	TEC	Gm20172	mouse
ENSMUSG00000096866	snRNA	Gm22260	mouse
ENSMUSG00000102296	TEC	Gm37543	mouse
ENSMUSG00000103209	TEC	Gm37331	mouse
ENSMUSG00000104027	TEC	Gm37211	mouse
ENSMUSG00000102407	TEC	Gm37862	mouse
ENSMUSG00000103214	TEC	Gm38286	mouse
ENSMUSG00000104100	TEC	Gm37880	mouse
ENSMUSG00000084740	snRNA	Gm25294	mouse
ENSMUSG00000103889	TEC	Gm37011	mouse
ENSMUSG00000101301	processed_pseudogene	Gm29214	mouse
ENSMUSG00000104221	TEC	Gm37051	mouse
ENSMUSG00000102250	TEC	Gm38260	mouse
ENSMUSG00000102317	TEC	Gm37628	mouse
ENSMUSG00000103563	TEC	8030445P17Rik	mouse
ENSMUSG00000102465	TEC	Gm38198	mouse
ENSMUSG00000102659	TEC	Gm37077	mouse
ENSMUSG00000103924	TEC	Gm37895	mouse
ENSMUSG00000104132	TEC	Gm36952	mouse
ENSMUSG00000102747	TEC	Gm37602	mouse
ENSMUSG00000102386	TEC	2900022M07Rik	mouse
ENSMUSG00000103004	TEC	2900002M20Rik	mouse
ENSMUSG00000104516	TEC	Gm9884	mouse
ENSMUSG00000101618	processed_pseudogene	Gm18443	mouse
ENSMUSG00000099458	processed_pseudogene	Gm19123	mouse
ENSMUSG00000088111	snoRNA	Gm24064	mouse
ENSMUSG00000073722	protein_coding	4931408C20Rik	mouse
ENSMUSG00000095256	rRNA	n-R5s209	mouse
ENSMUSG00000100310	processed_pseudogene	Gm19641	mouse
ENSMUSG00000101514	lincRNA	Gm5524	mouse
ENSMUSG00000101033	processed_pseudogene	Gm18776	mouse
ENSMUSG00000101372	processed_pseudogene	Gm19028	mouse
ENSMUSG00000103241	TEC	Gm38089	mouse
ENSMUSG00000086240	processed_pseudogene	Gm7846	mouse
ENSMUSG00000048411	protein_coding	Gm597	mouse
ENSMUSG00000081557	processed_pseudogene	Gm5697	mouse
ENSMUSG00000058590	processed_pseudogene	Gm6462	mouse
ENSMUSG00000101235	processed_pseudogene	Gm18033	mouse
ENSMUSG00000064433	misc_RNA	Gm25586	mouse
ENSMUSG00000080625	miRNA	Gm22679	mouse
ENSMUSG00000080391	miRNA	Gm23785	mouse
ENSMUSG00000099257	miRNA	Mir6342	mouse
ENSMUSG00000099492	processed_pseudogene	Gm5525	mouse
ENSMUSG00000118548	processed_pseudogene	AC125120.1	mouse
ENSMUSG00000101726	processed_pseudogene	Gm7858	mouse
ENSMUSG00000096829	miRNA	Gm23771	mouse
ENSMUSG00000098883	miRNA	Gm27430	mouse
ENSMUSG00000053185	lincRNA	Gm9898	mouse
ENSMUSG00000100261	unprocessed_pseudogene	Gm6473	mouse
ENSMUSG00000101180	processed_pseudogene	Gm2914	mouse
ENSMUSG00000048874	protein_coding	Phf3	mouse
ENSMUSG00000103783	TEC	Gm37522	mouse
ENSMUSG00000104315	TEC	Gm37906	mouse
ENSMUSG00000026064	protein_coding	Ptp4a1	mouse
ENSMUSG00000117310	protein_coding	Ptp4a1.1	mouse
ENSMUSG00000117091	protein_coding	Gm5698	mouse
ENSMUSG00000086726	processed_pseudogene	Gm9458	mouse
ENSMUSG00000086727	protein_coding	4931428L18Rik	mouse
ENSMUSG00000100237	lincRNA	Gm28644	mouse
ENSMUSG00000098529	rRNA	Gm27362	mouse
ENSMUSG00000100910	antisense	Gm29128	mouse
ENSMUSG00000099796	processed_pseudogene	Gm7893	mouse
ENSMUSG00000050217	protein_coding	Lgsn	mouse
ENSMUSG00000026063	protein_coding	Pih1d3	mouse
ENSMUSG00000077664	snoRNA	Gm26145	mouse
ENSMUSG00000100205	processed_pseudogene	Gm4850	mouse
ENSMUSG00000100592	processed_pseudogene	Gm28645	mouse
ENSMUSG00000094215	processed_pseudogene	Gm6489	mouse
ENSMUSG00000101093	processed_pseudogene	Eef1a1-ps2	mouse
ENSMUSG00000070960	processed_pseudogene	Gm19680	mouse
ENSMUSG00000088620	snRNA	Gm23032	mouse
ENSMUSG00000082159	processed_pseudogene	Gm7910	mouse
ENSMUSG00000026058	protein_coding	Khdrbs2	mouse
ENSMUSG00000064688	snRNA	Gm25814	mouse
ENSMUSG00000103482	TEC	Gm37999	mouse
ENSMUSG00000104498	TEC	Gm37110	mouse
ENSMUSG00000104313	TEC	Gm37911	mouse
ENSMUSG00000102865	TEC	Gm9839	mouse
ENSMUSG00000102321	TEC	Gm37792	mouse
ENSMUSG00000091318	protein_coding	Gm5415	mouse
ENSMUSG00000089489	snRNA	Gm24732	mouse
ENSMUSG00000104433	TEC	Gm37426	mouse
ENSMUSG00000089395	misc_RNA	Gm23024	mouse
ENSMUSG00000102926	TEC	Gm37151	mouse
ENSMUSG00000100497	processed_pseudogene	Gm28624	mouse
ENSMUSG00000102917	lincRNA	Gm37724	mouse
ENSMUSG00000100481	processed_pseudogene	Gm7114	mouse
ENSMUSG00000100590	processed_pseudogene	Gm4785	mouse
ENSMUSG00000088750	snRNA	Gm24901	mouse
ENSMUSG00000104230	lincRNA	Gm37591	mouse
ENSMUSG00000101754	processed_pseudogene	Gm2987	mouse
ENSMUSG00000065223	snRNA	Gm25792	mouse
ENSMUSG00000100318	processed_pseudogene	Gm18799	mouse
ENSMUSG00000101612	processed_pseudogene	Gm7933	mouse
ENSMUSG00000065260	snRNA	Gm23453	mouse
ENSMUSG00000026134	protein_coding	Prim2	mouse
ENSMUSG00000101682	processed_pseudogene	Gm29228	mouse
ENSMUSG00000102714	TEC	Gm37618	mouse
ENSMUSG00000102093	processed_pseudogene	Gm17813	mouse
ENSMUSG00000103746	TEC	1700001G17Rik	mouse
ENSMUSG00000102198	TEC	Gm38173	mouse
ENSMUSG00000004768	protein_coding	Rab23	mouse
ENSMUSG00000042215	protein_coding	Bag2	mouse
ENSMUSG00000103072	TEC	Gm37905	mouse
ENSMUSG00000042197	protein_coding	Zfp451	mouse
ENSMUSG00000081402	processed_pseudogene	Gm15455	mouse
ENSMUSG00000042182	protein_coding	Bend6	mouse
ENSMUSG00000104416	TEC	Gm37067	mouse
ENSMUSG00000026131	protein_coding	Dst	mouse
ENSMUSG00000103596	TEC	Gm37354	mouse
ENSMUSG00000099382	processed_pseudogene	Gm28631	mouse
ENSMUSG00000084506	snRNA	Gm23792	mouse
ENSMUSG00000103364	TEC	Gm38157	mouse
ENSMUSG00000105982	miRNA	Mir6896	mouse
ENSMUSG00000096992	processed_transcript	Gm26788	mouse
ENSMUSG00000103001	TEC	A930005N03Rik	mouse
ENSMUSG00000104397	lincRNA	Gm37958	mouse
ENSMUSG00000102839	TEC	Gm37385	mouse
ENSMUSG00000101206	processed_pseudogene	Gm5266	mouse
ENSMUSG00000101462	transcribed_processed_pseudogene	Gm3052	mouse
ENSMUSG00000102336	lincRNA	Gm37233	mouse
ENSMUSG00000092852	miRNA	Mir5103	mouse
ENSMUSG00000042111	protein_coding	Ccdc115	mouse
ENSMUSG00000101711	antisense	Gm28306	mouse
ENSMUSG00000026127	protein_coding	Imp4	mouse
ENSMUSG00000026126	protein_coding	Ptpn18	mouse
ENSMUSG00000100280	processed_transcript	Gm28417	mouse
ENSMUSG00000101223	lincRNA	4930568A12Rik	mouse
ENSMUSG00000026125	protein_coding	Prss39	mouse
ENSMUSG00000101116	processed_pseudogene	Gm28416	mouse
ENSMUSG00000026124	protein_coding	Cfc1	mouse
ENSMUSG00000101803	processed_pseudogene	Gm28419	mouse
ENSMUSG00000037529	protein_coding	Prss40	mouse
ENSMUSG00000045815	antisense	1700101I19Rik	mouse
ENSMUSG00000045174	protein_coding	Amer3	mouse
ENSMUSG00000100524	processed_pseudogene	Gm28418	mouse
ENSMUSG00000102499	processed_pseudogene	Gm36984	mouse
ENSMUSG00000103521	processed_pseudogene	Gm29730	mouse
ENSMUSG00000104098	processed_pseudogene	AA619741	mouse
ENSMUSG00000037509	protein_coding	Arhgef4	mouse
ENSMUSG00000102537	processed_pseudogene	Gm37224	mouse
ENSMUSG00000102612	processed_pseudogene	Gm37845	mouse
ENSMUSG00000118272	protein_coding	Arhgef4.1	mouse
ENSMUSG00000104002	antisense	Gm38336	mouse
ENSMUSG00000037503	protein_coding	Fam168b	mouse
